




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K4me3_K562.intersect_with_DeepZ.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K4me3_K562.intersect_with_DeepZ.genes_uniq.txt (5851)	H3K4me3_K562.intersect_with_DeepZ.genes_uniq.txt (expected)	H3K4me3_K562.intersect_with_DeepZ.genes_uniq.txt (over/under)	H3K4me3_K562.intersect_with_DeepZ.genes_uniq.txt (fold Enrichment)	H3K4me3_K562.intersect_with_DeepZ.genes_uniq.txt (raw P-value)	H3K4me3_K562.intersect_with_DeepZ.genes_uniq.txt (FDR)
viral budding via host ESCRT complex (GO:0039702)	20	17	5.68	+	2.99	1.21E-03	2.84E-02
ribosomal small subunit assembly (GO:0000028)	19	16	5.40	+	2.96	1.81E-03	4.02E-02
mitochondrial cytochrome c oxidase assembly (GO:0033617)	22	18	6.25	+	2.88	1.64E-03	3.70E-02
respiratory chain complex IV assembly (GO:0008535)	26	21	7.39	+	2.84	5.93E-04	1.53E-02
maturation of 5.8S rRNA (GO:0000460)	35	28	9.94	+	2.82	9.12E-05	3.00E-03
viral budding (GO:0046755)	25	20	7.10	+	2.82	8.85E-04	2.16E-02
histone mRNA metabolic process (GO:0008334)	24	19	6.82	+	2.79	1.32E-03	3.08E-02
mitochondrial RNA metabolic process (GO:0000959)	41	32	11.65	+	2.75	4.81E-05	1.66E-03
virion assembly (GO:0019068)	39	30	11.08	+	2.71	1.06E-04	3.43E-03
multivesicular body assembly (GO:0036258)	30	23	8.52	+	2.70	6.63E-04	1.68E-02
maturation of LSU-rRNA (GO:0000470)	28	21	7.95	+	2.64	1.46E-03	3.35E-02
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	96	72	27.27	+	2.64	1.82E-09	1.28E-07
viral transcription (GO:0019083)	116	87	32.96	+	2.64	3.88E-11	3.25E-09
transcription by RNA polymerase III (GO:0006383)	32	24	9.09	+	2.64	5.35E-04	1.40E-02
cytoplasmic translation (GO:0002181)	122	91	34.66	+	2.63	1.93E-11	1.67E-09
cotranslational protein targeting to membrane (GO:0006613)	101	75	28.69	+	2.61	1.30E-09	9.48E-08
multivesicular body organization (GO:0036257)	31	23	8.81	+	2.61	7.88E-04	1.97E-02
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	120	89	34.09	+	2.61	4.08E-11	3.39E-09
protein targeting to ER (GO:0045047)	112	83	31.82	+	2.61	1.72E-10	1.32E-08
RNA phosphodiester bond hydrolysis, exonucleolytic (GO:0090503)	42	31	11.93	+	2.60	9.91E-05	3.24E-03
ribosomal large subunit biogenesis (GO:0042273)	72	53	20.46	+	2.59	3.82E-07	1.95E-05
translational initiation (GO:0006413)	143	105	40.63	+	2.58	8.77E-13	8.78E-11
establishment of protein localization to endoplasmic reticulum (GO:0072599)	116	85	32.96	+	2.58	1.81E-10	1.38E-08
ribosome assembly (GO:0042255)	62	45	17.61	+	2.55	3.57E-06	1.51E-04
termination of RNA polymerase II transcription (GO:0006369)	40	29	11.36	+	2.55	2.11E-04	6.35E-03
centriole assembly (GO:0098534)	29	21	8.24	+	2.55	1.71E-03	3.84E-02
cytochrome complex assembly (GO:0017004)	36	26	10.23	+	2.54	5.61E-04	1.46E-02
snRNA transcription (GO:0009301)	71	51	20.17	+	2.53	9.95E-07	4.71E-05
translational elongation (GO:0006414)	127	91	36.08	+	2.52	7.18E-11	5.76E-09
mitochondrial translational elongation (GO:0070125)	88	63	25.00	+	2.52	6.20E-08	3.59E-06
snRNA transcription by RNA polymerase II (GO:0042795)	70	50	19.89	+	2.51	1.43E-06	6.57E-05
mitochondrial gene expression (GO:0140053)	142	101	40.34	+	2.50	9.40E-12	8.40E-10
